st,sentiment_index,date,volume,return,marketvalue,bmr,betaval,std_volume,std_return,std_marketvalue,std_bmr,std_beta,imbalance,std_imbalance,return day t+1
600000,0.4755646559393544,2016-08-01,22909943.0,0.006369,341568830.0,0.9327549,0.348155,0.0044604624,0.062032532,0.14342949,0.1715362,0.4537976,0.0,0.0,-0.003165
600000,0.12705316329837552,2016-08-02,10877815.0,-0.003165,340487900.0,0.9357163,0.338747,0.0021175132,0.05953736,0.14297351,0.1720809,0.4529118,0.0,0.0,-0.005079
600000,0.18031504407290985,2016-08-03,10583990.0,-0.005079,338758430.0,0.9404931,0.330628,0.0020602983,0.05903644,0.14224397,0.1729595,0.45214733,0.0,0.0,-0.005105
600000,0.17901404433271678,2016-08-04,15610498.0,-0.005105,337029000.0,0.945319,0.336838,0.003039082,0.059029635,0.14151442,0.17384714,0.45273203,-13.721265,0.08407669,0.00898
600000,0.4393601039767837,2016-08-05,17648517.0,0.00898,340055550.0,0.9369059,0.337354,0.0034359342,0.062715866,0.14279114,0.17229971,0.45278063,-0.003163928,0.4855131,0.000636
600000,0.7275286412925355,2016-08-08,13129367.0,0.000636,340271700.0,0.9363103,0.333502,0.0025559454,0.06053213,0.14288232,0.17219016,0.45241794,0.0,0.0,0.003177
600000,0.4034114071734983,2016-08-09,15480879.0,0.003177,341352640.0,0.93334603,0.331558,0.003013842,0.061197143,0.1433383,0.17164493,0.4522349,0.0,0.0,0.002533
600000,0.581657646431957,2016-08-10,18499535.0,0.002533,342217380.0,0.9309869,0.330661,0.0036016481,0.0610286,0.14370306,0.171211,0.45215043,0.0,0.0,0.015161
600000,0.831865396201515,2016-08-11,52689421.0,0.015161,347405760.0,0.91708285,0.241884,0.010259253,0.06433351,0.1458917,0.16865362,0.44379142,14.562839,0.9117619,0.018046
600000,0.32819691565167697,2016-08-12,46991632.0,0.018046,353675070.0,0.90082705,0.287219,0.009149754,0.065088555,0.1485363,0.16566364,0.44806004,0.6436389,0.50444067,0.035452
600000,0.7506548237356514,2016-08-15,77333862.0,0.035452,366213660.0,0.86998355,0.431806,0.015058127,0.06964393,0.15382549,0.15999055,0.46167397,1.1454438,0.5191251,-0.014168
600000,0.3946087845799859,2016-08-16,49384036.0,-0.014168,361025280.0,0.88248634,0.460203,0.009615614,0.05665773,0.15163687,0.16229022,0.46434775,-14.234155,0.06906784,-0.003593
600000,0.5705061633685735,2016-08-17,36446597.0,-0.003593,359728200.0,0.885669,0.460781,0.007096379,0.059425347,0.1510897,0.1628756,0.46440217,0.0,0.0,-0.012019
600000,0.6100802994602512,2016-08-18,37110139.0,-0.012019,355404500.0,0.8964429,0.459962,0.007225587,0.057220154,0.14926584,0.16485727,0.46432504,-0.4015817,0.4738541,-0.001217
600000,0.31647705781162155,2016-08-19,19927300.0,-0.001217,354972160.0,0.89753556,0.461555,0.003879669,0.060047176,0.14908345,0.16505824,0.46447504,0.0,0.0,-0.000609
600000,0.34341388431773656,2016-08-22,19768630.0,-0.000609,354755970.0,0.8980821,0.499099,0.0038487718,0.060206298,0.14899226,0.16515876,0.4680101,-14.148848,0.071564205,-0.000609
600000,0.6205343476341905,2016-08-23,31754370.0,-0.000609,354539780.0,0.89863,0.499307,0.006182688,0.060206298,0.14890108,0.16525955,0.46802968,-13.105219,0.10210419,-0.00061
600000,0.4714395687972695,2016-08-24,17085424.0,-0.00061,354323620.0,0.8991779,0.543638,0.003326286,0.060206037,0.14880988,0.16536032,0.47220376,0.0,0.0,-0.003051
600000,0.08836190627733251,2016-08-25,24749915.0,-0.003051,353242700.0,0.9019296,0.555881,0.0048187496,0.059567194,0.1483539,0.16586645,0.47335652,-14.112618,0.072624385,0.0
600000,0.5830193362349618,2016-08-26,14688056.0,0.0,353242700.0,0.9019296,0.557594,0.0028594602,0.06036568,0.1483539,0.16586645,0.4735178,-13.032616,0.1042288,-0.006732
600000,-0.07945534501439143,2016-08-29,30202023.0,-0.006732,350864670.0,0.90804255,0.557021,0.005880408,0.05860383,0.14735079,0.1669908,0.47346386,0.0,0.0,0.010474
600000,0.4771663159971041,2016-08-30,36396993.0,0.010474,354539780.0,0.89863,0.561632,0.00708672,0.063106865,0.14890108,0.16525955,0.47389802,0.75787336,0.50778353,0.004878
600009,1.1784232334730398,2016-08-01,9607002.0,-0.00538,53434556.0,0.38734692,0.626679,0.0018700549,0.058957666,0.021884825,0.071218215,0.48002267,0.0,0.0,0.001082
600009,1.0188941043218491,2016-08-02,3177238.0,0.001082,53492370.0,0.38692832,0.647604,0.0006180229,0.060648855,0.02190921,0.07114122,0.4819929,0.0,0.0,0.01585
600009,0.8731225685554234,2016-08-03,8378906.0,0.01585,54340228.0,0.38089114,0.641218,0.0016309146,0.06451383,0.022266867,0.07003079,0.4813916,0.0,0.0,-0.000355
600009,1.1256404210331878,2016-08-04,4392949.0,-0.000355,54320960.0,0.38102627,0.612432,0.00085475156,0.060272772,0.022258738,0.07005564,0.4786812,0.0,0.0,-0.002838
600009,0.9902670424126914,2016-08-05,3051251.0,-0.002838,54166800.0,0.38211066,0.613371,0.0005934902,0.05962294,0.022193711,0.07025509,0.47876963,0.0,0.0,-0.001067
600009,0.3489011167927736,2016-08-08,3695582.0,-0.001067,54108990.0,0.3825189,0.606367,0.00071895716,0.060086433,0.022169326,0.07033018,0.47811013,0.0,0.0,0.010684
600009,0.3349972981374774,2016-08-09,4335597.0,0.010684,54687080.0,0.37847534,0.612881,0.0008435837,0.06316182,0.022413181,0.06958645,0.47872347,0.0,0.0,-0.005285
600009,0.7219977985784088,2016-08-10,3443024.0,-0.005285,54398036.0,0.38048637,0.611222,0.000669778,0.05898253,0.022291252,0.06995634,0.47856727,0.0,0.0,-0.019483
600009,0.8696740577691091,2016-08-11,5274654.0,-0.019483,53338210.0,0.38804662,0.585614,0.001026441,0.055266727,0.021844182,0.07134691,0.4761561,0.0,0.0,0.007587
600009,0.6771703419578552,2016-08-12,6867532.0,0.007587,53742870.0,0.38512477,0.586405,0.0013366132,0.062351298,0.022014882,0.07080949,0.47623056,0.0,0.0,0.028326
600009,0.6553751426865375,2016-08-15,12017151.0,0.028326,55265170.0,0.3745164,0.652975,0.0023393696,0.06777897,0.022657039,0.06885827,0.48249862,0.0,0.0,0.012901
600009,0.957638544020178,2016-08-16,8869720.0,0.012901,55978144.0,0.36974633,0.627549,0.0017264881,0.06374204,0.022957794,0.0679809,0.48010457,0.0,0.0,0.001033
600009,0.3159690097451572,2016-08-17,9544543.0,0.001033,56035950.0,0.3693649,0.628338,0.0018578926,0.060636032,0.02298218,0.06791074,0.48017886,0.0,0.0,-0.010661
600009,-0.15518427016264594,2016-08-18,4153270.0,-0.010661,54610004.0,0.37900954,0.637675,0.0008080802,0.057575557,0.022380667,0.0696847,0.481058,0.0,0.0,-0.004587
600009,0.7227208494842501,2016-08-19,4434907.0,-0.004587,54359496.0,0.38075614,0.639883,0.00086292176,0.059165202,0.022274995,0.07000595,0.4812659,0.0,0.0,0.01347
600009,-0.16817333919881625,2016-08-22,6948367.0,0.01347,55091744.0,0.37569538,0.651601,0.0013523538,0.06389096,0.022583881,0.06907512,0.48236924,0.0,0.0,0.0
600009,0.5308067035094383,2016-08-23,4157935.0,0.0,55091744.0,0.37569538,0.651872,0.0008089886,0.06036568,0.022583881,0.06907512,0.48239475,0.0,0.0,0.002798
600009,0.1379989077007094,2016-08-24,5510027.0,0.002798,55245900.0,0.37464702,0.661181,0.0010722739,0.061097953,0.02264891,0.0688823,0.48327127,0.0,0.0,-0.007325
600009,0.6051768835385642,2016-08-25,2264626.0,-0.007325,54841236.0,0.37741148,0.643651,0.0004403151,0.058448635,0.02247821,0.06939077,0.4816207,0.0,0.0,0.0
600009,0.1895258357288742,2016-08-26,2033913.0,0.0,54841236.0,0.37741148,0.645635,0.00039538965,0.06036568,0.02247821,0.06939077,0.4818075,0.0,0.0,-0.008082
600009,-0.0877095822263458,2016-08-29,5397457.0,-0.008082,54398036.0,0.38048637,0.644972,0.0010503537,0.058250517,0.022291252,0.06995634,0.4817451,0.0,0.0,-0.010627
600009,0.4050772345197367,2016-08-30,5125431.0,-0.010627,53819948.0,0.38457322,0.635531,0.0009973836,0.057584457,0.022047397,0.070708044,0.48085615,0.0,0.0,-0.006087
600010,0.11913612972122466,2016-08-01,52019295.0,-0.003546,91495670.0,0.51700294,1.35283,0.0101287635,0.059437647,0.037940275,0.09506611,0.54839504,1.203937,0.52083683,0.007117
600010,0.16648085477441738,2016-08-02,28774171.0,0.007117,92146890.0,0.5133491,1.374913,0.0056023705,0.062228292,0.038214978,0.09439406,0.5504743,0.6209561,0.5037769,0.0
